Campo,Etiqueta
Hola,none
buen,none
dia,none
estimados,none
desbloquear,none
Gracias,none
Saludos,none
Como,none
estan?,none
ID,none
SKU,none
ADDRESS,none
Sku's,none
direcciones,none
direccion,none
ID,none
buenas,none
ayuda,none
necesito,none
necesitar,none
tu,none
yo,none
nostros,none
fuimos,none
no,none
si,none
podemos,none
poder,none
pudimos,none
mano,none
ayudarme,none
me,none
su,none
las,none
la,none
le,none
li,none
lo,none
lu,none
meli,none
melis,none
meli's,none
mercado,none
pago,none
libre,none
livre,none
envio,none
envios,none
containers,none
container,none
container's,none
cuarentena,none
cuarentenas,none
picking,none
pickups,none
pickup's,none
interrumpidos,none
saldo,none
pieza,none
piezas,none
saldos,none
obrigado,none
obrigada,none
buenos,none
tarde,none
tardes,none
noches,none
noche,none
comentario,none
destrabar,none
trabar,none
trabadas,none
trabada,none
wall,none
wallin,none
in,none
put,none
putto,none
to,none
puttowall,none
wall's,none
box,none
carrito,none
boxes,none
carritos,none
box's,none
damaged,none
damage,none
home,none
damages,none
site,none
descripcion,none
descripciones,none
describir,none
escribir,none
escribo,none
escribiendo,none
arrojar,none
arrojo,none
nos,none
tus,none
los,none
te,none
pueden,none
ayudar,none
a,none
en,none
proceso,none
ret,none
batch,none
sorter,none
batch's,none
batches,none
carrier,none
carriers,none
carrier's,none
pedido,none
pedidos,none
pido,none
les,none
por,none
favor,none
que,none
mo,none
ma,none
mi,none
mu,none
ustedes,none
usted,none
buscar,none
buscame,none
busqueda,none
help,none
desk,none
helpdesk,none
smo,none
facturador,none
fiscal,none
go,none
fbm,none
cuando,none
saltar,none
salto,none
caido,none
se,none
cayo,none
sistema,none
interrumpi,none
interrumpido,none
lanzar,none
code,none
script,none
script's,none
luchar,none
luche,none
luchamos,none
arreglar,none
arreglo,none
arreglamos,none
conexion,none
conexiones,none
internet,none
cte,orden
imprimir,none
imprimimos,none
imprimamos,none
pude,none
imposible,none
tratar,none
trata,none
tratare,none
ultimo,none
ultima,none
ultimas,none
bueno,none
last,none
miles,none
mile,none
cpt,none
time,none
continuar,none
continuo,none
continua,none
hago,none
hace,none
hacer,none
haces,none
ayer,none
hoy,none
mas,none
dias,none
cpu,none
luz,none
luces,none
tarea,none
tareas,none
usuario,none
usuarios,none
user,none
name,none
username,none
users,none
user's,none
names,none
name's,none
username's,none
mañana,none
mañanas,none
lunes,none
martes,none
miercoles,none
jueves,none
viernes,none
sabado,none
domingo,none
y,none
rendir,none
cuenta,none
cuentas,none
plan,none
planning,none
planes,none
planear,none
tomar,none
tomo,none
vos,none
quien,none
fue,none
quienes,none
error,none
errores,none
herramientas,none
herramienta,none
tools,none
tool,none
tool's,none
con,none
lugar,none
lugares,none
estas,none
esta,none
estos,none
este,none
you,none
your,none
ingles,none
español,none
portugues,none
layaout,none
ui,none
ia,none
jugar,none
juego,none
jugando,none
cargando,none
cargar,none
cargare,none
fuego,none
mucho,none
muchos,none
estudia,none
estudiar,none
estudiando,none
agarrar,none
agarra,none
ultimos,none
golpe,none
golpear,none
golpeamos,none
golpeo,none
lanzamos,none
lance,none
gusta,none
gustar,none
gustamos,none
gusto,none
guste,none
bulto,none
bultos,none
interrumpio,none
descarga,none
linea,none
lineas,none
line,none
objetivo,none
sla,none
objetivos,none
resolucion,none
operacion,none
operaciones,none
empujar,none
hice,none
gol,none
dado,none
dada,none
dudo,none
tambien,none
tampoco,none
poco,none
poquito,none
kilos,none
kilo,none
tan,none
urgente,none
vencer,none
vencio,none
pronto,none
rapido,none
posible,none
trabajamos,none
trabajar,none
trabaja,none
trabaje,none
el,none
hubo,none
fijo,none
fija,none
de,none
posicion,none
daño,none
cuanto,none
cuantas,none
conte,none
contaron,none
pie,none
cabeza,none
manos,none
ojo,none
ojos,none
pies,none
cabezas,none
dedo,none
dedos,none
alcance,none
alcances,none
sit's,none
cantidad,none
cantidades,none
planilla,none
google,none
sheets,none
sheet,none
modificar,none
modificamos,none
modificando,none
modifique,none
avanzar,none
avanzamos,none
avance,none
correctamente,none
exitosamente,none
cambio,none
cambios,none
estado,none
estados,none
close,none
closed,none
pallet,none
out,none
dispatch,none
enviado,none
entragado,none
delivered,none
shipped,none
lost,none
return,none
returning,none
hub,none
devuelto,none
devolvemos,none
perdido,none
perdidos,none
devueltos,none
sender,none
muelle,none
estante,none
estantes,none
muelles,none
entragas,none
tiempo,none
tiempos,none
entrega,none
mucha,none
muchas,none
cada,none
uno,none
cadas,none
unos,none
ellos,none
ellas,none
paquete,none
paquetes,none
cajas,none
caja,none
alto,none
bajo,none
medio,none
altos,none
bajos,none
medios,none
prioridad,none
prioridades,none
priorizar,none
gracia,none
place,none
places,none
mercadolibre,none
mercadopago,none
mercadoenvio,none
mercadolivre,none
python,none
java,none
sql,none
seguir,none
seguimos,none
ticket,none
tickets,none
ticket's,none
puente,none
puentes,none
puerta,none
puertas,none
entradas,none
entrada,none
luna,none
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ctes,orden
cte's,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
ct-e,orden
seguimiento,none
soporte,none
soportes,none
cuerda,none
cuerdas,none
pinturas,none
pintura,none
emei,none
bot,none
cable,none
cables,none
podrian,none
podran,none
nada,none
funciona,none
funcion,none
sirve,none
responde,none
respondes,none
respondio,none
respuesta,none
respuestas,none
puño,none
puñado,none
puñados,none
hand,none
hell,none
held,none
hh,none
bipeo,none
bipeamos,none
escanear,none
escaneamos,none
scan,none
scanner,none
inbound,none
outbound,none
cross,none
docking,none
dock,none
doka,none
docka,none
fullfilment,none
full,none
almacen,none
